congress,year,chamber,member_id,party_code,party_name,nominate_dim1
93,1973,House,1,100,Democrat,-0.2256
93,1973,House,2,100,Democrat,-0.3335
93,1973,House,3,100,Democrat,-0.1999
93,1973,House,4,100,Democrat,-0.0511
93,1973,House,5,100,Democrat,-0.3498
93,1973,House,6,100,Democrat,-0.3498
93,1973,House,7,100,Democrat,-0.0415
93,1973,House,8,100,Democrat,-0.1795
93,1973,House,9,100,Democrat,-0.3898
93,1973,House,10,100,Democrat,-0.2178
93,1973,House,11,100,Democrat,-0.3888
93,1973,House,12,100,Democrat,-0.3892
93,1973,House,13,100,Democrat,-0.2689
93,1973,House,14,100,Democrat,-0.6353
93,1973,House,15,100,Democrat,-0.6032
93,1973,House,16,100,Democrat,-0.4056
93,1973,House,17,100,Democrat,-0.4822
93,1973,House,18,100,Democrat,-0.2566
93,1973,House,19,100,Democrat,-0.4644
93,1973,House,20,100,Democrat,-0.5501
93,1973,House,21,100,Democrat,-0.0608
93,1973,House,22,100,Democrat,-0.3484
93,1973,House,23,100,Democrat,-0.2985
93,1973,House,24,100,Democrat,-0.5522
93,1973,House,25,100,Democrat,-0.4025
93,1973,House,26,100,Democrat,-0.2911
93,1973,House,27,100,Democrat,-0.5057
93,1973,House,28,100,Democrat,-0.2461
93,1973,House,29,100,Democrat,-0.4121
93,1973,House,30,100,Democrat,-0.3596
93,1973,House,31,100,Democrat,-0.4123
93,1973,House,32,100,Democrat,0.0049
93,1973,House,33,100,Democrat,-0.3123
93,1973,House,34,100,Democrat,-0.4898
93,1973,House,35,100,Democrat,-0.1702
93,1973,House,36,100,Democrat,-0.5175
93,1973,House,37,100,Democrat,-0.2745
93,1973,House,38,100,Democrat,-0.6431
93,1973,House,39,100,Democrat,-0.5358
93,1973,House,40,100,Democrat,-0.2765
93,1973,House,41,100,Democrat,-0.1845
93,1973,House,42,100,Democrat,-0.2809
93,1973,House,43,100,Democrat,-0.3297
93,1973,House,44,100,Democrat,-0.3612
93,1973,House,45,100,Democrat,-0.5613
93,1973,House,46,100,Democrat,-0.4324
93,1973,House,47,100,Democrat,-0.3883
93,1973,House,48,100,Democrat,-0.1303
93,1973,House,49,100,Democrat,-0.2516
93,1973,House,50,100,Democrat,-0.6097
93,1973,House,51,100,Democrat,-0.2549
93,1973,House,52,100,Democrat,-0.3755
93,1973,House,53,100,Democrat,-0.4251
93,1973,House,54,100,Democrat,-0.206
93,1973,House,55,100,Democrat,-0.1347
93,1973,House,56,100,Democrat,-0.1517
93,1973,House,57,100,Democrat,-0.4527
93,1973,House,58,100,Democrat,-0.3626
93,1973,House,59,100,Democrat,-0.2537
93,1973,House,60,100,Democrat,-0.1442
93,1973,House,61,100,Democrat,-0.3915
93,1973,House,62,100,Democrat,-0.3416
93,1973,House,63,100,Democrat,-0.4981
93,1973,House,64,100,Democrat,-0.5134
93,1973,House,65,100,Democrat,-0.1719
93,1973,House,66,100,Democrat,-0.0794
93,1973,House,67,100,Democrat,-0.3222
93,1973,House,68,100,Democrat,-0.1394
93,1973,House,69,100,Democrat,-0.2485
93,1973,House,70,100,Democrat,-0.4197
93,1973,House,71,100,Democrat,-0.2486
93,1973,House,72,100,Democrat,-0.0485
93,1973,House,73,100,Democrat,-0.3161
93,1973,House,74,100,Democrat,-0.044
93,1973,House,75,100,Democrat,-0.7554
93,1973,House,76,100,Democrat,-0.1703
93,1973,House,77,100,Democrat,-0.2952
93,1973,House,78,100,Democrat,-0.3608
93,1973,House,79,100,Democrat,-0.2944
93,1973,House,80,100,Democrat,-0.6479
93,1973,House,81,100,Democrat,-0.3473
93,1973,House,82,100,Democrat,-0.2493
93,1973,House,83,100,Democrat,-0.0588
93,1973,House,84,100,Democrat,-0.3981
93,1973,House,85,100,Democrat,-0.4474
93,1973,House,86,100,Democrat,-0.3953
93,1973,House,87,100,Democrat,-0.1544
93,1973,House,88,100,Democrat,-0.2541
93,1973,House,89,100,Democrat,-0.4001
93,1973,House,90,100,Democrat,-0.2227
93,1973,House,91,100,Democrat,-0.2935
93,1973,House,92,100,Democrat,-0.1453
93,1973,House,93,100,Democrat,-0.4293
93,1973,House,94,100,Democrat,-0.3657
93,1973,House,95,100,Democrat,-0.3767
93,1973,House,96,100,Democrat,-0.5588
93,1973,House,97,100,Democrat,-0.2597
93,1973,House,98,100,Democrat,-0.2656
93,1973,House,99,100,Democrat,-0.3091
93,1973,House,100,100,Democrat,-0.3499
93,1973,House,101,100,Democrat,-0.5506
93,1973,House,102,100,Democrat,-0.3815
93,1973,House,103,100,Democrat,-0.3683
93,1973,House,104,100,Democrat,-0.4464
93,1973,House,105,100,Democrat,-0.3374
93,1973,House,106,100,Democrat,-0.2413
93,1973,House,107,100,Democrat,0.0107
93,1973,House,108,100,Democrat,-0.2803
93,1973,House,109,100,Democrat,-0.2662
93,1973,House,110,100,Democrat,-0.3227
93,1973,House,111,100,Democrat,-0.6362
93,1973,House,112,100,Democrat,-0.3145
93,1973,House,113,100,Democrat,-0.2998
93,1973,House,114,100,Democrat,0.1088
93,1973,House,115,100,Democrat,-0.3427
93,1973,House,116,100,Democrat,-0.2587
93,1973,House,117,100,Democrat,-0.3159
93,1973,House,118,100,Democrat,-0.5087
93,1973,House,119,100,Democrat,-0.1157
93,1973,House,120,100,Democrat,-0.1822
93,1973,House,121,100,Democrat,-0.1755
93,1973,House,122,100,Democrat,-0.4646
93,1973,House,123,100,Democrat,-0.0715
93,1973,House,124,100,Democrat,-0.5483
93,1973,House,125,100,Democrat,-0.2102
93,1973,House,126,100,Democrat,0.0624
93,1973,House,127,100,Democrat,-0.4784
93,1973,House,128,100,Democrat,-0.4063
93,1973,House,129,100,Democrat,-0.2931
93,1973,House,130,100,Democrat,-0.3956
93,1973,House,131,100,Democrat,-0.5736
93,1973,House,132,100,Democrat,-0.2983
93,1973,House,133,100,Democrat,-0.4906
93,1973,House,134,100,Democrat,-0.2295
93,1973,House,135,100,Democrat,-0.4663
93,1973,House,136,100,Democrat,-0.0465
93,1973,House,137,100,Democrat,-0.4432
93,1973,House,138,100,Democrat,-0.3648
93,1973,House,139,100,Democrat,-0.1717
93,1973,House,140,100,Democrat,-0.5192
93,1973,House,141,100,Democrat,-0.2713
93,1973,House,142,100,Democrat,-0.0878
93,1973,House,143,100,Democrat,-0.5833
93,1973,House,144,100,Democrat,-0.2786
93,1973,House,145,100,Democrat,-0.2658
93,1973,House,146,100,Democrat,-0.1771
93,1973,House,147,100,Democrat,-0.5203
93,1973,House,148,100,Democrat,-0.5345
93,1973,House,149,100,Democrat,-0.2213
93,1973,House,150,100,Democrat,-0.2595
93,1973,House,151,100,Democrat,-0.2674
93,1973,House,152,100,Democrat,-0.2511
93,1973,House,153,100,Democrat,-0.4256
93,1973,House,154,100,Democrat,-0.2705
93,1973,House,155,100,Democrat,-0.2602
93,1973,House,156,100,Democrat,-0.4314
93,1973,House,157,100,Democrat,0.0072
93,1973,House,158,100,Democrat,-0.2294
93,1973,House,159,100,Democrat,-0.5125
93,1973,House,160,100,Democrat,-0.1984
93,1973,House,161,100,Democrat,-0.4757
93,1973,House,162,100,Democrat,-0.1762
93,1973,House,163,100,Democrat,-0.113
93,1973,House,164,100,Democrat,-0.4495
93,1973,House,165,100,Democrat,-0.1462
93,1973,House,166,100,Democrat,-0.2398
93,1973,House,167,100,Democrat,-0.1702
93,1973,House,168,100,Democrat,0.0125
93,1973,House,169,100,Democrat,-0.3517
93,1973,House,170,100,Democrat,-0.4381
93,1973,House,171,100,Democrat,-0.4612
93,1973,House,172,100,Democrat,-0.4487
93,1973,House,173,100,Democrat,-0.3231
93,1973,House,174,100,Democrat,-0.252
93,1973,House,175,100,Democrat,-0.263
93,1973,House,176,100,Democrat,-0.1694
93,1973,House,177,100,Democrat,-0.3078
93,1973,House,178,100,Democrat,-0.0629
93,1973,House,179,100,Democrat,-0.355
93,1973,House,180,100,Democrat,0.1524
93,1973,House,181,100,Democrat,-0.2036
93,1973,House,182,100,Democrat,-0.4557
93,1973,House,183,100,Democrat,-0.4921
93,1973,House,184,100,Democrat,-0.228
93,1973,House,185,100,Democrat,-0.348
93,1973,House,186,100,Democrat,-0.1886
93,1973,House,187,100,Democrat,-0.2295
93,1973,House,188,100,Democrat,-0.3224
93,1973,House,189,100,Democrat,-0.454
93,1973,House,190,100,Democrat,-0.5675
93,1973,House,191,100,Democrat,-0.3859
93,1973,House,192,100,Democrat,-0.1644
93,1973,House,193,100,Democrat,-0.2736
93,1973,House,194,100,Democrat,-0.5218
93,1973,House,195,100,Democrat,-0.2806
93,1973,House,196,100,Democrat,-0.2445
93,1973,House,197,100,Democrat,-0.4603
93,1973,House,198,100,Democrat,-0.2839
93,1973,House,199,100,Democrat,-0.3001
93,1973,House,200,100,Democrat,-0.5043
93,1973,House,201,100,Democrat,-0.2492
93,1973,House,202,100,Democrat,-0.2147
93,1973,House,203,100,Democrat,-0.1259
93,1973,House,204,100,Democrat,-0.1309
93,1973,House,205,100,Democrat,-0.5442
93,1973,House,206,100,Democrat,-0.4694
93,1973,House,207,100,Democrat,-0.2224
93,1973,House,208,100,Democrat,-0.2227
93,1973,House,209,100,Democrat,-0.2224
93,1973,House,210,100,Democrat,0.345
93,1973,House,211,100,Democrat,-0.2129
93,1973,House,212,100,Democrat,-0.117
93,1973,House,213,100,Democrat,-0.1478
93,1973,House,214,100,Democrat,-0.1993
93,1973,House,215,100,Democrat,-0.3636
93,1973,House,216,100,Democrat,-0.181
93,1973,House,217,100,Democrat,-0.4414
93,1973,House,218,100,Democrat,-0.3503
93,1973,House,219,100,Democrat,-0.3925
93,1973,House,220,100,Democrat,-0.2961
93,1973,House,221,100,Democrat,0.0835
93,1973,House,222,100,Democrat,-0.6274
93,1973,House,223,100,Democrat,-0.1933
93,1973,House,224,100,Democrat,-0.5842
93,1973,House,225,100,Democrat,-0.3902
93,1973,House,226,100,Democrat,-0.1249
93,1973,House,227,100,Democrat,-0.2991
93,1973,House,228,100,Democrat,-0.4932
93,1973,House,229,100,Democrat,-0.4316
93,1973,House,230,100,Democrat,-0.1945
93,1973,House,231,100,Democrat,-0.4342
93,1973,House,232,100,Democrat,-0.2732
93,1973,House,233,100,Democrat,-0.3023
