congress,member_a,member_b,party_a,party_b,nominate_a,nominate_b,distance,weight
93,1,245,Democrat,Republican,-0.2256,0.064,0.2896,1
93,1,246,Democrat,Republican,-0.2256,0.1982,0.4238,3
93,1,263,Democrat,Republican,-0.2256,-0.2524,0.0268,1
93,1,268,Democrat,Republican,-0.2256,0.0283,0.2539,2
93,1,269,Democrat,Republican,-0.2256,0.1818,0.4074,1
93,1,270,Democrat,Republican,-0.2256,0.2703,0.4959,2
93,1,273,Democrat,Republican,-0.2256,0.4303,0.6559,1
93,1,282,Democrat,Republican,-0.2256,0.3526,0.5782,2
93,1,297,Democrat,Republican,-0.2256,0.3894,0.615,1
93,1,306,Democrat,Republican,-0.2256,0.2682,0.4938,3
93,1,315,Democrat,Republican,-0.2256,0.4523,0.6779,5
93,1,316,Democrat,Republican,-0.2256,0.2533,0.4789,5
93,1,327,Democrat,Republican,-0.2256,0.4295,0.6551,3
93,1,333,Democrat,Republican,-0.2256,0.2617,0.4873,2
93,1,338,Democrat,Republican,-0.2256,0.2002,0.4258,2
93,1,348,Democrat,Republican,-0.2256,0.0318,0.2574,2
93,1,349,Democrat,Republican,-0.2256,0.1386,0.3642,4
93,1,359,Democrat,Republican,-0.2256,0.3,0.5256,5
93,1,360,Democrat,Republican,-0.2256,0.1218,0.3474,1
93,1,391,Democrat,Republican,-0.2256,0.1107,0.3363,3
93,1,394,Democrat,Republican,-0.2256,0.5339,0.7595,9
93,1,396,Democrat,Republican,-0.2256,0.1773,0.4029,1
93,1,401,Democrat,Republican,-0.2256,0.0029,0.2285,1
93,1,412,Democrat,Republican,-0.2256,0.0757,0.3013,3
93,1,422,Democrat,Republican,-0.2256,0.5221,0.7477,1
93,1,427,Democrat,Republican,-0.2256,0.1004,0.326,1
93,2,246,Democrat,Republican,-0.3335,0.1982,0.5317,2
93,2,262,Democrat,Republican,-0.3335,0.2408,0.5743,1
93,2,281,Democrat,Republican,-0.3335,0.2676,0.6011,2
93,2,284,Democrat,Republican,-0.3335,0.0581,0.3916,2
93,2,288,Democrat,Republican,-0.3335,0.3412,0.6747,7
93,2,311,Democrat,Republican,-0.3335,0.2163,0.5498,1
93,2,315,Democrat,Republican,-0.3335,0.4523,0.7858,7
93,2,344,Democrat,Republican,-0.3335,0.1714,0.5049,1
93,2,346,Democrat,Republican,-0.3335,0.286,0.6195,2
93,2,353,Democrat,Republican,-0.3335,0.3829,0.7164,2
93,2,361,Democrat,Republican,-0.3335,0.3305,0.664,6
93,2,367,Democrat,Republican,-0.3335,0.2847,0.6182,1
93,2,391,Democrat,Republican,-0.3335,0.1107,0.4442,1
93,2,396,Democrat,Republican,-0.3335,0.1773,0.5108,7
93,2,398,Democrat,Republican,-0.3335,0.4599,0.7934,2
93,2,406,Democrat,Republican,-0.3335,0.3465,0.68,3
93,2,407,Democrat,Republican,-0.3335,0.0845,0.418,3
93,2,423,Democrat,Republican,-0.3335,0.2114,0.5449,1
93,2,425,Democrat,Republican,-0.3335,0.35,0.6835,2
93,3,259,Democrat,Republican,-0.1999,0.3188,0.5187,2
93,3,282,Democrat,Republican,-0.1999,0.3526,0.5525,4
93,3,286,Democrat,Republican,-0.1999,-0.0526,0.1473,6
93,3,311,Democrat,Republican,-0.1999,0.2163,0.4162,4
93,3,314,Democrat,Republican,-0.1999,0.3761,0.576,3
93,3,331,Democrat,Republican,-0.1999,0.2481,0.448,6
93,3,333,Democrat,Republican,-0.1999,0.2617,0.4616,1
93,3,336,Democrat,Republican,-0.1999,0.2272,0.4271,1
93,3,338,Democrat,Republican,-0.1999,0.2002,0.4001,1
93,3,342,Democrat,Republican,-0.1999,0.2878,0.4877,1
93,3,345,Democrat,Republican,-0.1999,0.177,0.3769,2
93,3,373,Democrat,Republican,-0.1999,0.4749,0.6748,1
93,3,385,Democrat,Republican,-0.1999,0.1323,0.3322,1
93,3,408,Democrat,Republican,-0.1999,0.2279,0.4278,1
93,3,412,Democrat,Republican,-0.1999,0.0757,0.2756,3
93,3,413,Democrat,Republican,-0.1999,0.0122,0.2121,5
93,3,428,Democrat,Republican,-0.1999,0.3563,0.5562,1
93,4,243,Democrat,Republican,-0.0511,0.3283,0.3794,2
93,4,247,Democrat,Republican,-0.0511,0.1764,0.2275,1
93,4,263,Democrat,Republican,-0.0511,-0.2524,0.2013,3
93,4,265,Democrat,Republican,-0.0511,0.2109,0.262,1
93,4,269,Democrat,Republican,-0.0511,0.1818,0.2329,1
93,4,272,Democrat,Republican,-0.0511,0.0274,0.0785,2
93,4,275,Democrat,Republican,-0.0511,0.0979,0.149,1
93,4,279,Democrat,Republican,-0.0511,0.2608,0.3119,1
