congress,member_a,member_b,party_a,party_b,nominate_a,nominate_b,distance,weight
116,9994,10297,Democrat,Republican,-0.5719,0.3133,0.8852,1
116,9994,10332,Democrat,Republican,-0.5719,0.481,1.0529,2
116,9994,10365,Democrat,Republican,-0.5719,0.4431,1.015,1
116,9995,10239,Democrat,Republican,-0.3349,0.3915,0.7264,1
116,9995,10244,Democrat,Republican,-0.3349,0.5774,0.9123,1
116,9995,10248,Democrat,Republican,-0.3349,0.5881,0.923,1
116,9995,10256,Democrat,Republican,-0.3349,0.4056,0.7405,1
116,9995,10297,Democrat,Republican,-0.3349,0.3133,0.6482,2
116,9995,10320,Democrat,Republican,-0.3349,0.7196,1.0545,2
116,9995,10337,Democrat,Republican,-0.3349,0.4544,0.7893,2
116,9995,10355,Democrat,Republican,-0.3349,0.5939,0.9288,1
116,9995,10401,Democrat,Republican,-0.3349,0.5242,0.8591,1
116,9996,10242,Democrat,Republican,-0.3255,0.4705,0.796,5
116,9996,10282,Democrat,Republican,-0.3255,0.5243,0.8498,2
116,9996,10291,Democrat,Republican,-0.3255,0.4381,0.7636,1
116,9996,10299,Democrat,Republican,-0.3255,0.63,0.9555,2
116,9996,10340,Democrat,Republican,-0.3255,0.4263,0.7518,3
116,9996,10341,Democrat,Republican,-0.3255,0.4885,0.814,1
116,9996,10354,Democrat,Republican,-0.3255,0.4508,0.7763,2
116,9996,10361,Democrat,Republican,-0.3255,0.538,0.8635,2
116,9996,10398,Democrat,Republican,-0.3255,0.6679,0.9934,4
116,9996,10399,Democrat,Republican,-0.3255,0.505,0.8305,1
116,9996,10404,Democrat,Republican,-0.3255,0.5313,0.8568,1
116,9996,10423,Democrat,Republican,-0.3255,0.5312,0.8567,7
116,9996,10424,Democrat,Republican,-0.3255,0.5288,0.8543,4
116,9997,10243,Democrat,Republican,-0.6159,0.486,1.1019,5
116,9997,10282,Democrat,Republican,-0.6159,0.5243,1.1402,2
116,9997,10332,Democrat,Republican,-0.6159,0.481,1.0969,1
116,9997,10412,Democrat,Republican,-0.6159,0.5464,1.1623,2
116,9998,10290,Democrat,Republican,-0.5021,0.4609,0.963,2
116,9998,10291,Democrat,Republican,-0.5021,0.4381,0.9402,2
116,9998,10297,Democrat,Republican,-0.5021,0.3133,0.8154,2
116,9998,10326,Democrat,Republican,-0.5021,0.4091,0.9112,1
116,9998,10327,Democrat,Republican,-0.5021,0.5428,1.0449,2
116,9999,10230,Democrat,Republican,-0.3964,0.4546,0.851,1
116,9999,10267,Democrat,Republican,-0.3964,0.4908,0.8872,1
116,9999,10340,Democrat,Republican,-0.3964,0.4263,0.8227,2
116,9999,10353,Democrat,Republican,-0.3964,0.5177,0.9141,3
116,9999,10355,Democrat,Republican,-0.3964,0.5939,0.9903,4
116,9999,10367,Democrat,Republican,-0.3964,0.4366,0.833,2
116,9999,10425,Democrat,Republican,-0.3964,0.4422,0.8386,2
116,10000,10229,Democrat,Republican,-0.3833,0.481,0.8643,2
116,10000,10270,Democrat,Republican,-0.3833,0.5765,0.9598,5
116,10000,10317,Democrat,Republican,-0.3833,0.6425,1.0258,2
116,10000,10331,Democrat,Republican,-0.3833,0.4587,0.842,5
116,10000,10339,Democrat,Republican,-0.3833,0.4815,0.8648,1
116,10000,10346,Democrat,Republican,-0.3833,0.468,0.8513,2
116,10001,10232,Democrat,Republican,-0.4997,0.4198,0.9195,4
116,10001,10266,Democrat,Republican,-0.4997,0.5669,1.0666,1
116,10001,10382,Democrat,Republican,-0.4997,0.6174,1.1171,1
116,10001,10386,Democrat,Republican,-0.4997,0.5175,1.0172,1
116,10001,10410,Democrat,Republican,-0.4997,0.5478,1.0475,2
116,10002,10296,Democrat,Republican,-0.4669,0.505,0.9719,3
116,10002,10307,Democrat,Republican,-0.4669,0.5314,0.9983,1
116,10002,10403,Democrat,Republican,-0.4669,0.6402,1.1071,1
116,10003,10392,Democrat,Republican,-0.4926,0.6419,1.1345,1
116,10004,10257,Democrat,Republican,-0.4303,0.5931,1.0234,1
116,10004,10303,Democrat,Republican,-0.4303,0.7037,1.134,1
116,10004,10307,Democrat,Republican,-0.4303,0.5314,0.9617,1
116,10004,10337,Democrat,Republican,-0.4303,0.4544,0.8847,2
116,10004,10349,Democrat,Republican,-0.4303,0.6019,1.0322,1
116,10004,10369,Democrat,Republican,-0.4303,0.404,0.8343,1
116,10005,10246,Democrat,Republican,-0.3346,0.4822,0.8168,1
116,10005,10357,Democrat,Republican,-0.3346,0.576,0.9106,3
116,10005,10379,Democrat,Republican,-0.3346,0.5142,0.8488,2
116,10006,10304,Democrat,Republican,-0.5079,0.4412,0.9491,1
116,10006,10348,Democrat,Republican,-0.5079,0.6587,1.1666,1
116,10006,10359,Democrat,Republican,-0.5079,0.4968,1.0047,1
116,10006,10411,Democrat,Republican,-0.5079,0.5303,1.0382,1
116,10006,10424,Democrat,Republican,-0.5079,0.5288,1.0367,2
116,10006,10427,Democrat,Republican,-0.5079,0.5263,1.0342,1
