congress,member_a,member_b,party_a,party_b,nominate_a,nominate_b,distance,weight
98,2175,2444,Democrat,Republican,-0.4561,0.3997,0.8558,6
98,2175,2468,Democrat,Republican,-0.4561,0.3149,0.771,1
98,2175,2487,Democrat,Republican,-0.4561,0.2597,0.7158,1
98,2175,2523,Democrat,Republican,-0.4561,0.3578,0.8139,2
98,2175,2534,Democrat,Republican,-0.4561,0.1906,0.6467,1
98,2175,2585,Democrat,Republican,-0.4561,0.4525,0.9086,3
98,2175,2598,Democrat,Republican,-0.4561,0.3375,0.7936,2
98,2175,2606,Democrat,Republican,-0.4561,0.286,0.7421,2
98,2175,2608,Democrat,Republican,-0.4561,0.0233,0.4794,4
98,2176,2448,Democrat,Republican,-0.032,0.2795,0.3115,2
98,2176,2453,Democrat,Republican,-0.032,0.3013,0.3333,2
98,2176,2461,Democrat,Republican,-0.032,0.3199,0.3519,3
98,2176,2464,Democrat,Republican,-0.032,0.1491,0.1811,3
98,2176,2475,Democrat,Republican,-0.032,0.3495,0.3815,1
98,2176,2477,Democrat,Republican,-0.032,0.28,0.312,3
98,2176,2483,Democrat,Republican,-0.032,0.569,0.601,2
98,2176,2491,Democrat,Republican,-0.032,0.3082,0.3402,8
98,2176,2505,Democrat,Republican,-0.032,0.1689,0.2009,3
98,2176,2511,Democrat,Republican,-0.032,0.3726,0.4046,7
98,2176,2515,Democrat,Republican,-0.032,0.2937,0.3257,1
98,2176,2524,Democrat,Republican,-0.032,0.2692,0.3012,1
98,2176,2533,Democrat,Republican,-0.032,0.3822,0.4142,6
98,2176,2547,Democrat,Republican,-0.032,0.1309,0.1629,2
98,2176,2552,Democrat,Republican,-0.032,0.0656,0.0976,1
98,2176,2557,Democrat,Republican,-0.032,-0.0326,0.0006,2
98,2176,2572,Democrat,Republican,-0.032,0.1217,0.1537,2
98,2176,2573,Democrat,Republican,-0.032,0.271,0.303,2
98,2176,2596,Democrat,Republican,-0.032,0.0179,0.0499,1
98,2176,2599,Democrat,Republican,-0.032,0.466,0.498,2
98,2176,2604,Democrat,Republican,-0.032,0.1553,0.1873,1
98,2177,2531,Democrat,Republican,-0.5681,0.3716,0.9397,1
98,2177,2535,Democrat,Republican,-0.5681,0.2557,0.8238,5
98,2177,2562,Democrat,Republican,-0.5681,0.3211,0.8892,1
98,2177,2563,Democrat,Republican,-0.5681,0.1897,0.7578,1
98,2177,2579,Democrat,Republican,-0.5681,0.3465,0.9146,1
98,2177,2585,Democrat,Republican,-0.5681,0.4525,1.0206,4
98,2177,2603,Democrat,Republican,-0.5681,0.2274,0.7955,2
98,2178,2467,Democrat,Republican,-0.3082,0.2108,0.519,3
98,2178,2485,Democrat,Republican,-0.3082,0.2386,0.5468,2
98,2178,2488,Democrat,Republican,-0.3082,0.3041,0.6123,1
